business_id|cuisine
SVJNB9LqI13jtVyKMZVqeg|Chinese
VbFYau70iG_s6UNFwYtGVQ|Chinese
NebgteFykeM1gwiVgPcCHw|Chinese
lgS9lE0Y9FhzT68zCj5QCw|Chinese
zYoL-o9YJpGTwJ-Gmj8AFA|Chinese
olRNNJCJ2TJvPRmjBiOcGA|Chinese
JzD9nfJWHwnG-2Wk87muHg|Chinese
LDF8GBzAPJ4bnJVo4Bf3xw|Chinese
i7cKPMXreR4XfTjdpqZ_5A|Chinese
diCW3Pj1PTVRSyol_d7cZw|Chinese
WRRs3smfm6rHP5k4Slzr3w|Chinese
lgHmMRBaU-48kGaNz3jYxg|Chinese
MYPes7EWP5aLiVG1Z_9eFQ|Chinese
B7bxdtvLYR7Nmex4AIFd4w|Chinese
ebug8VzizRlgdK2fYRi-6A|Chinese
vQe7_ZW_jBSWKtgSiXGIOA|Chinese
gvOe1TLb8hZgx0naC9LYpw|Chinese
pb_cHcy8D8UC-jQ-Q524ug|Chinese
LpVbI-E9C-CSp7WhU5h2Iw|Chinese
pBNMZp_tKCAfRNx7-ybcHQ|Chinese
g_5V15Xp1OvB1QXuGMstYA|Chinese
Puyzn1gagH9TsJz7EBJs3g|Chinese
Sj2StOWkhHIPE6_sS5RMCQ|Chinese
7hh2eP4HVkyjtpcqeITk3Q|Chinese
oWBDdSamOzxMJzsD_-seXg|Chinese
oyyubJoK0VZ2V3a5sVJULg|Chinese
gNmF50bsYnpVQCNXoW02mg|Chinese
WIj12zDqIbBucW1hXYhrew|Chinese
P2bxlKAmRWZIpHdJ_JT3fg|Chinese
Bwj7nzWphGV6FaZ_ygTSOg|Chinese
Nt3Y26a6OMtdBe8xMMJjqQ|Chinese
TN4RnyqHMSupRFot4Q-_EA|Chinese
2wVirrAVg3ltAFHoHeXHMQ|Chinese
_WXa2M3gz2Mi0ys3s88nDw|Chinese
J9UA6rzI5WW_cDGjwDnF5g|Chinese
UNyGz06_7RendbswIyNYtA|Chinese
BF6pY829iPBERt15CG1g3w|Chinese
Xf6e3HaP0AgMBxY7dEDkOA|Chinese
2J3--ZI6CcoYLWSYYVdt7Q|Chinese
xFp3xSQ43J-i7nmJfNBsZA|Chinese
f_OiLWqldSmNy1MAvtWlPQ|Chinese
xrnk8mgoV7up6fauVmugpw|Chinese
HvN9eVtlm9MnOQCL_GlRSg|Chinese
-Exv1AEsaKU6Cdb2TO_ZUg|Chinese
0GftSP2dRwEzujkv2VKIgA|Chinese
vA2VEhW6S1ioX6tXtQdO9A|Chinese
DKGUSLiqNchBNatKoPM9QQ|Chinese
IkOW8jcaFYOll4albHitLw|Chinese
HoU-pi4U4EK-AwkTxNCAEg|Chinese
IjRxYyr41Yl1fGhIrss1vg|Chinese
JJLFsLZbL21fbYRqcIGCLA|Chinese
_FhKGcCbiYgtkXcCiwTAiA|Chinese
L9SuMN3UsGipopWOe3pr9w|Chinese
IhSVn0TaX8xXb3wcQ-fgcA|Chinese
bDsXyYwzk4I9_7l51D_gaA|Chinese
cGSLzPA_SCWrN3cyT86Nhw|Chinese
ePVlFbTzdVQFWie__kdplg|Chinese
pYC8aaoUcPp1FaPqVojS5g|Chinese
HScFap2SwbUlfC-QXVkxFA|Chinese
SQT1chaH2EmwYgNvvodGLQ|Chinese
WVsPyl-DGRu0O_rQYdIMVQ|Chinese
GAFqRBlqZpLK2vYbiqzYhA|Chinese
FizBsTIAJwNrImIG1mPDcg|Chinese
_7jEITBmNIMD73_ni89MaQ|Chinese
0IFDnYf3bhqxJR6hVrG7Gw|Chinese
B87c3bE_u53yNYO1cmHSIw|Chinese
2Bg8Jfl2FvH1unmvxNS0dQ|Chinese
inp9N7bo9zqQSa8h8UBhqg|Chinese
DpfE0gPBXj-aj2pnEh4E2Q|Chinese
ItZ8CzZAGXGjB8_9HxDIXg|Chinese
Jy7htqnnxlKB2vZO42_-aw|Chinese
RkcQl4uEJWblWf4xX8ssqQ|Chinese
wpJGWi1LQsCd7Leq3Y4RqQ|Chinese
NXg-oNpx0GYNiErdHb8L5A|Chinese
qVBvZIgDcwSFsENWD1nWKQ|Chinese
FlZ1zdVEKWv7dwqm8Uw8-w|Chinese
1YGpTYD8xIuUpK_beMhzSw|Chinese
2YYXbDTL9G6LyuNvZGCvyQ|Chinese
uPVYeVOSLmvAkbxM9cTAQg|Chinese
9-vKFnUby_6-pR6UJxjzMw|Chinese
TwxP5xU_xyzlf7SVzCnpuA|Chinese
mDajKjZjRN4tVGEJFOgF9w|Chinese
0Lnp_fi3gI2bfJ8RcMDfjg|Chinese
H_KyiRhwho8rdlw_R93_0Q|Chinese
v0opDMezc6pKgdfR22KUnQ|Chinese
y_ylOQzCP-9D_4DcUIJ3jA|Chinese
5-cv4xv4IBao7N1LSH6tHA|Chinese
_lx7nuvXU7LhDRL3a9TMAw|Chinese
8cyRl5HIQzbkYD7orq223g|Chinese
HDoJIH-qW9FqJ5WB-bKTqA|Chinese
oFBgvlELwMtvqA0gcGr96g|Chinese
ryvBsB9FrBBZDak87iGS1w|Chinese
YC-wGlO0oOkEIaCEDZv-ag|Chinese
1ctLdRJjP9m5QdL7ruYAzA|Chinese
aJKpUrLLNX3dy7NJCriqcQ|Chinese
7ZecxKox2SiVtsNDWphJZQ|Chinese
qEe7nIhPfEL6L0-VYhWRrA|Chinese
fNAIjp3E05b9lCQesnol8g|Chinese
OLSSJIp8pu5UlugTF7tuHA|Chinese
RoqLH-4rDugHlduthnZggg|Chinese
Uc8LtqNWavguEarRXfwhRg|Chinese
tS4aiWBYgzlqKX898jr3_w|Chinese
A5MHd0GjEb4P86UsNzUnig|Chinese
I_Va7AZSHpEwX75S-3hHLQ|Chinese
HPwH6d3yshPeF0pywgDfSw|Chinese
wo7-TKh4B37RTBjPNtkp7w|Chinese
kesYSgOJW5krU6L8n9qQ4Q|Chinese
PGeL1b4xNJggpZsHEGoxjg|Chinese
a-Bq_yXFVk2PptoWpmry3w|Chinese
eQKYZWnBjPUjINAnFmrmbA|Chinese
5tWpAFpF618KJxBhHJzF7g|Chinese
6KWuxjK1ey72cW8LVuoV5A|Chinese
VpInBiE272MaN1Hi0DA-Zw|Chinese
4pnfZWTgH2924iEKRa0hkw|Chinese
VzstANC68PM1BbyOcDXEtw|Chinese
zj4vqgljRhxwWlvttgFRKQ|Chinese
hNFe8WhCibrqT4sFcZmAgw|Chinese
I4FWrwXDC91lsfQLXYSeXA|Chinese
SSDOkx5enfRH3nsniS_2jA|Chinese
EbX_9tqAJs4gW51gZpOB7g|Chinese
fVsH6QIJPzXpVbgmeiolsA|Chinese
3GMHPnrkFAcqffw3T7JSdQ|Chinese
97q5nUQTuBo_h00XCxna2A|Chinese
DsH2GQdj6lX-znyfDFFhhQ|Chinese
-oj8yGjD32mIKQEOou-cKQ|Chinese
EvAJBgBdgOt1jx1EufRN7w|Chinese
nzqNfNXjtB6bxp-UN7xXkA|Chinese
7VqMGK9uwi0vKqOjdKyIUA|Chinese
Wbmqg0TkOVkzNh3HrJ9DIQ|Chinese
smxIke5NSkMIExa6jLVw-g|Chinese
zb78ua-FlfFRj8v082giBw|Chinese
wqdFd3DZD_uTXRW784mFkg|Chinese
rn6SmSqAYx2kLFIAxytMMQ|Chinese
479rycCXZojMT9S0cl8Oxg|Chinese
vw_Xsqnep2odsL3l5-Tn1w|Chinese
sKIYGvENchifk1YwFe77pA|Chinese
gDCK63W5_8-tdCCWr92rbw|Chinese
i6CpYdmMYoz712bRWTWVgQ|Chinese
aK2ipD9K8-usBw_gkvvJuw|Chinese
dpCSDy9uefOEcY44FHss2Q|Chinese
_kaQarBVxm8rHnyeFlCwTQ|Chinese
qiw9Kgsu5YVGrQL_OeDmcQ|Chinese
3NHexRXpc3Asuo0elQcDSw|Chinese
xVPTI1ytXt2PLU-strKcnw|Chinese
fRO4Fwe5uRAajMcTwLbVkA|Chinese
g0Xj6-LnjP34zVpHTN9V7Q|Chinese
MMuhdLdOcQ5Ghtr0V_BwIg|Chinese
Ig5-xwGEXMFssmwIvzxCRQ|Chinese
FXFQJmhK6elesopXdhjvFQ|Chinese
ykf5siP-2CXY3leFbeeabQ|Chinese
VG0XPr9jSrgd8p5WPD1HaQ|Chinese
l_RAv09V67j-Hm9dyZxWhw|Chinese
B9Mbi12NpBJkZcRtQNtMBA|Chinese
3ESDUFulPVoMJdsqPQGm0A|Chinese
hBbAmEYXM4L03AU9Vt_p9g|Chinese
iB1tr_xJk7aAt0AhewoB9Q|Chinese
p2zm0HnXZkI2yCAuYLb45g|Chinese
MMotl_bi3-5JRra91A2jLA|Chinese
xWUL-j6TQyKQHIfOtetu-Q|Chinese
mESab-FqL5QqSVsnX72asQ|Chinese
oNN202L_XcNM-tuDHlgkfg|Chinese
rPKXTHDgtGI4XEo2HuVpow|Chinese
iHiEMvbpLzNYTMsd5-VnQw|Chinese
SXH-A8k7t7C_lmzzVdWQTg|Chinese
Q1TpfbuPwKPFrNFyu-u2_g|Chinese
m2Zsy2UAkcDf0cRzk2Yoqw|Chinese
L37A2JWXfwR_PgKColA8xA|Chinese
qhXIW0LDT4XsoN2IE6dZHg|Chinese
k67-o4M_l_7LO_RxWBIpbA|Chinese
UiBQ8Uyu4wfOtEM1Rr8ycA|Chinese
_IkMfWpOkQXRZtJAYJUJIw|Chinese
pBIvJHn65iqlUh1L2tN-qg|Chinese
bgnM6uy66zupYzb4QdL3vA|Chinese
eGIY_25KFspf8KefDQMj-Q|Chinese
2LcsDUTlvovnFz-SEcSJTQ|Chinese
vPbJRg5umcRMELTDsJik_A|Chinese
DmTz35KvxO20mH-pJxLNpg|Chinese
k0fnJRSV8tzM2bzkvFdlGg|Chinese
GJZnf3B-ADjlCV1NXsHvGQ|Chinese
8YWLuLUKj0t_0_Xv06UUtw|Chinese
ZdLS7gD1ulmCPkqNc9_S3A|Chinese
E1QQuFMX7DAEt8jV4attkA|Chinese
k8GFfCXO2FIIJIo0ICYSRA|Chinese
xEDD2ScBU3jHhWxlMC7dkQ|Chinese
9WgsvzaiXNAmmQGD0uQxFQ|Chinese
3NYQQckItp9l7GDzALw79w|Chinese
0d9H27ztGyGHMENp2afAqA|Chinese
ipPhk_Tmp2JYInPWJR-ZgQ|Chinese
CHW9sTtJxM6z8cqEy84aWg|Chinese
6wJOojpF2c4lLeBNbTBB0A|Chinese
D0EV-xXaUUi35raZ_hWg-w|Chinese
mhhTORjUdXj-UIDjyGmhBg|Chinese
yVI01P3ApyLlkqtOfgki7A|Chinese
YvAeVNrMQGim9VTkilwUgA|Chinese
QO4Xm2VrG2PEHXVMPrf7Sw|Chinese
T_72OxeFKvdzX-mKEztHdQ|Chinese
DNSFvZtdsqkaidmFSpm-Jw|Chinese
O1fUmxt3kbV-rnyjBtzAfw|Chinese
AeNU0DYNtYDVPGnWAIh-0Q|Chinese
3fBiB3slTfBpmf39vD7sJw|Chinese
rkeH5HJIuX7ZcOaYNum9xA|Chinese
ybQV8joopvU1_gG2RwLRog|Chinese
aWkekCYI9zNA6xDwYEtYpg|Chinese
Vb9IMzmaO3oSYAE75B-pJw|Chinese
7rTl_d-dqlK5dGG31ogSBg|Chinese
Cyv-tW4BljwWnP16HI_zAg|Chinese
bK-Y2zCIMolqRDHsaYUCWA|Chinese
AfF4zVbVI27zwgkzOLYDFg|Chinese
PBUIaPtgnhmdHE3KHglK-g|Chinese
OBiBi8nimTl9GF64sPQfuQ|Chinese
W5RSIwNKBa7k0jeAs5KDYg|Chinese
H87c1gVVCKneyI0LxaDFxQ|Chinese
kwqOmEwWJ0D9PyCdFGE3-g|Chinese
IIM-dzbOvg4x7h-AjHsq9Q|Chinese
oJjMYhA6z1_BVaQpSdyl8g|Chinese
KkPanVlxtpsuG0V0IlEchg|Chinese
1xJV03v3g3oP3G5oDlWuoQ|Chinese
-EqTI_ssZs0iNM39KjzlQA|Chinese
YigPOZxASGQX1IniEyCp8g|Chinese
RoXFN-T1s6moM5smbY_5Gw|Chinese
1zGj_OBB4Ne1BevScnWANQ|Chinese
F2KRHRtnIAZJezs9UC2u6w|Chinese
Fv6ueSQwc_ITpXEhybHvtA|Chinese
D-PPbfPcCNyKs7w0J4tMvQ|Chinese
TedFbN-fnKfoljL-uQQwIw|Chinese
